"Word"	"Freq"
"4393"	"near"	32
"4926"	"pleased"	32
"5694"	"sake"	32
"5871"	"set"	32
"5974"	"silence"	32
"6480"	"talked"	32
"1198"	"common"	31
"1301"	"confidence"	31
"1442"	"convinced"	31
"1578"	"daughters"	31
"1802"	"different"	31
"2503"	"fancy"	31
"2850"	"get"	31
"3261"	"hour"	31
"3584"	"instantly"	31
"3768"	"keep"	31
"4428"	"new"	31
"5621"	"right"	31
"306"	"alone"	30
"706"	"believed"	30
"1010"	"certain"	30
"1177"	"comfortable"	30
"1480"	"course"	30
"2715"	"former"	30
"2791"	"full"	30
"3034"	"happened"	30
"3753"	"judgment"	30
"4385"	"natural"	30
"5841"	"sense"	30
"6241"	"stay"	30
"7109"	"wanted"	30
"7277"	"wishes"	30
"394"	"anxious"	29
"1098"	"circumstances"	29
"1211"	"company"	29
"3772"	"kept"	29
"4399"	"necessary"	29
"4624"	"opportunity"	29
"6052"	"small"	29
"6115"	"son"	29
"6473"	"taken"	29
"6999"	"usual"	29
"7099"	"walked"	29
"414"	"appearance"	28
"1028"	"change"	28
"1469"	"countenance"	28
"1969"	"doing"	28
"2091"	"easily"	28
"2627"	"five"	28
"2949"	"greatest"	28
"3801"	"knowledge"	28
"3930"	"likely"	28
"4111"	"marry"	28
"4252"	"misery"	28
"4283"	"moments"	28
"5435"	"remained"	28
"5475"	"repeated"	28
"5546"	"resolved"	28
"5640"	"robert"	28
"6112"	"sometimes"	28
"6251"	"steeles"	28
"6321"	"strong"	28
"7318"	"words"	28
"209"	"affair"	27
"1262"	"concern"	27
"1361"	"considered"	27
"2339"	"exactly"	27
"2397"	"expect"	27
"2534"	"favour"	27
"2802"	"future"	27
"2911"	"got"	27
"3103"	"hearing"	27
"3898"	"let"	27
"3996"	"lord"	27
"4544"	"occasion"	27
"4776"	"past"	27
"5243"	"question"	27
"5654"	"round"	27
"6374"	"suffered"	27
"6490"	"taste"	27
"6765"	"truth"	27
"6776"	"turned"	27
"136"	"acquainted"	26
"295"	"allow"	26
"510"	"assured"	26
"735"	"best"	26
"1628"	"declared"	26
