"Word"	"Freq"
"2846"	"enjoyment"	22
"2951"	"event"	22
"3105"	"eye"	22
"3239"	"favourite"	22
"3518"	"four"	22
"3639"	"gentleman"	22
"3842"	"guess"	22
"3891"	"hands"	22
"5306"	"loss"	22
"5597"	"mine"	22
"5675"	"moments"	22
"5759"	"music"	22
"5931"	"note"	22
"6013"	"observe"	22
"6582"	"pleasing"	22
"6679"	"pray"	22
"6988"	"quick"	22
"7649"	"secret"	22
"8231"	"standing"	22
"8540"	"table"	22
"8579"	"tea"	22
"8595"	"telling"	22
"8712"	"thinks"	22
"8802"	"today"	22
"8832"	"tone"	22
"8959"	"try"	22
"8960"	"trying"	22
"9771"	"written"	22
"271"	"agreed"	21
"523"	"approbation"	21
"1865"	"country"	21
"1870"	"couple"	21
"1969"	"dance"	21
"2005"	"daughters"	21
"2631"	"duty"	21
"2926"	"especially"	21
"3645"	"gentlemen"	21
"4169"	"hill"	21
"4269"	"hopes"	21
"4760"	"intimacy"	21
"4788"	"invitation"	21
"4951"	"kept"	21
"6729"	"presently"	21
"6837"	"promise"	21
"6977"	"quarter"	21
"7591"	"scarcely"	21
"7747"	"service"	21
"8171"	"spent"	21
"8228"	"stand"	21
"8427"	"summer"	21
"8823"	"tomorrow"	21
"8871"	"town"	21
"9229"	"useful"	21
"9360"	"wait"	21
"9474"	"weeks"	21
"247"	"age"	20
"1567"	"complete"	20
"1688"	"connexion"	20
"1699"	"consciousness"	20
"1722"	"considering"	20
"2128"	"delight"	20
"2192"	"deserve"	20
"3229"	"fault"	20
"3358"	"fixed"	20
"4067"	"henry"	20
"4489"	"inclination"	20
"4701"	"instrument"	20
"5095"	"lately"	20
"5217"	"likeness"	20
"5636"	"mistaken"	20
"5917"	"nonsense"	20
"6014"	"observed"	20
"6372"	"past"	20
"6505"	"pianoforte"	20
"6537"	"plain"	20
"7071"	"reasonable"	20
"7102"	"recommend"	20
"7335"	"respectable"	20
"7509"	"safe"	20
"7989"	"smallest"	20
"8501"	"suspect"	20
"366"	"altogether"	19
"420"	"angry"	19
"443"	"answered"	19
"657"	"attempt"	19
"784"	"bath"	19
"1107"	"busy"	19
"1132"	"calling"	19
"1261"	"chance"	19
"2037"	"dearest"	19
"2116"	"delay"	19
"2418"	"disposed"	19
"2450"	"distress"	19
"2642"	"eager"	19
"2657"	"ease"	19
"2785"	"encouragement"	19
"3032"	"expect"	19
"3090"	"extraordinary"	19
"3914"	"happily"	19
"4159"	"high"	19
"4213"	"hint"	19
"4409"	"imagined"	19
"4629"	"information"	19
"4893"	"janes"	19
"5303"	"lose"	19
"5309"	"lost"	19
"5531"	"mention"	19
"6281"	"paid"	19
"6367"	"passing"	19
"6510"	"picture"	19
"7008"	"rain"	19
"7874"	"sigh"	19
"7889"	"silence"	19
"8508"	"suspicion"	19
"8519"	"sweet"	19
"8727"	"thoroughly"	19
"9022"	"uncle"	19
"9112"	"unhappy"	19
"9600"	"william"	19
"9635"	"wishes"	19
"9711"	"work"	19
"458"	"anxiety"	18
"1279"	"charade"	18
"1284"	"charge"	18
"1417"	"close"	18
"1720"	"considered"	18
"2326"	"disagreeable"	18
"2336"	"disappointed"	18
"2904"	"equally"	18
"3327"	"finding"	18
"3470"	"forgotten"	18
"3475"	"form"	18
"3492"	"fortnight"	18
"5246"	"listen"	18
"5266"	"living"	18
"5333"	"low"	18
"5377"	"makes"	18
"5407"	"mans"	18
"5738"	"move"	18
"5872"	"niece"	18
"6076"	"offer"	18
"6155"	"opportunity"	18
"6198"	"otherwise"	18
"6343"	"parties"	18
"6448"	"period"	18
"6773"	"pride"	18
"7039"	"rational"	18
"7134"	"reflection"	18
"7511"	"safely"	18
"7763"	"severe"	18
"7914"	"single"	18
"7933"	"sisters"	18
"8161"	"speech"	18
"8169"	"spend"	18
"8395"	"sudden"	18
"8766"	"thrown"	18
"9667"	"women"	18
"9739"	"worst"	18
"9774"	"wrote"	18
"566"	"arrived"	17
"862"	"behind"	17
"1226"	"cause"	17
"1653"	"confidence"	17
"1714"	"considerable"	17
"1859"	"countenance"	17
"1916"	"credit"	17
"2339"	"disappointment"	17
"2625"	"during"	17
"2681"	"effect"	17
"3018"	"exercise"	17
"3557"	"friendly"	17
"3678"	"gives"	17
"3742"	"goodwill"	17
"3833"	"growing"	17
"4221"	"history"	17
"4444"	"important"	17
"4885"	"james"	17
"4910"	"joined"	17
"4919"	"joy"	17
"6043"	"occurred"	17
"6554"	"play"	17
"6652"	"possibly"	17
"6766"	"prevent"	17
"6838"	"promised"	17
"7161"	"regular"	17
"7443"	"road"	17
"7492"	"run"	17
"7814"	"shewed"	17
"7900"	"simple"	17
"7971"	"slight"	17
"8650"	"thats"	17
"8794"	"tired"	17
"9311"	"views"	17
"9406"	"warmly"	17
"9533"	"weymouth"	17
"9536"	"whatever"	17
"9637"	"wishing"	17
"9743"	"worthy"	17
"258"	"agitation"	16
"296"	"alarm"	16
"401"	"amused"	16
"560"	"arrangement"	16
"902"	"besides"	16
"1610"	"concern"	16
"1962"	"cut"	16
